target_id,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_R12_A_T77_repeat_L1,X_R12_B_T77_repeat_L1,X_R12_C_T77_repeat_L1,X_R12_A_T95_repeat_L1,X_R12_B_T95_repeat_L1,X_R12_C_T95_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_R12_A_T119_repeat_L1,X_R12_B_T119_repeat_L1,X_R12_C_T119_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1,X_R12_A_T216_repeat_L1,X_R12_B_T216_repeat_L1,X_R12_C_T216_repeat_L1
FW510-R12_contig_1_1457,369,408,391,672,133,3,1785,690,839,4110,4403,2145,10860,7869,10855,1375,868,988,9212,9238,10581,75,162,23,9933,10258,10514
FW510-R12_contig_1_1458,188,101,188,138,32,1,221,94,106,567,757,311,643,472,522,186,164,195,491,435,701,3,5,0,106,96,98
FW510-R12_contig_1_1459,554,384,640,556,114,9,1267,452,548,2337,2711,1145,2685,1931,2317,1011,896,903,2038,1987,2958,9,47,6,500,539,488
FW510-R12_contig_1_146,414,326,421,422,107,3,823,383,398,1065,1477,696,1735,1071,1287,668,564,574,1344,1435,1623,15,42,9,353,376,324
FW510-R12_contig_1_1460,711,390,648,998,283,10,1597,832,1086,2620,4127,1708,3771,2598,3184,1533,1489,1523,3004,3136,4764,16,25,7,827,866,737
FW510-R12_contig_1_1461,327,203,254,263,73,0,369,231,286,831,1376,565,1283,909,1161,393,331,377,831,1007,1574,5,21,3,262,319,254
FW510-R12_contig_1_1462,97,87,107,121,27,0,165,83,105,396,508,279,518,357,499,174,183,188,414,424,586,1,4,3,139,156,133
FW510-R12_contig_1_1463,511,337,532,590,94,7,1058,529,607,1814,2547,1213,2732,1796,2328,1057,985,954,2123,2189,3292,25,64,13,1069,1165,999
FW510-R12_contig_1_1464,987,750,1069,1398,321,6,3201,1537,1931,5287,6193,3101,7822,5072,5969,2696,2921,2869,6672,6330,8094,31,133,22,2817,3101,2924
FW510-R12_contig_1_1465,569,458,576,683,167,6,1415,719,922,2985,3084,1587,3506,2436,2513,1136,1019,981,2354,2591,3001,22,24,15,2029,1902,1730
FW510-R12_contig_1_1466,1641,960,1369,3314,1073,39,7672,3678,6023,24007,24100,11351,17336,11069,13807,6913,8521,9757,10519,10631,14041,20,33,5,2191,2617,2133
FW510-R12_contig_1_1467,766,544,833,1627,489,8,3768,1750,2701,12808,11937,5844,7781,5161,5712,3566,4718,4941,4125,3930,6278,9,45,6,947,1138,883
FW510-R12_contig_1_1468,713,488,786,1203,368,11,3012,1235,1633,9707,10258,4776,5367,3938,4365,3284,3563,3375,2830,2921,3947,9,67,6,627,711,562
FW510-R12_contig_1_1469,1382,1122,1426,1404,367,14,2567,1228,1579,4554,4608,2333,6935,4833,5527,1961,1781,1522,4183,4533,7137,45,85,20,2040,2115,1800
FW510-R12_contig_1_147,171,144,104,267,34,2,620,303,486,1150,1340,692,1590,1082,1256,487,488,438,1385,1381,1669,214,174,141,1076,1125,1120
FW510-R12_contig_1_1470,504,281,394,391,117,6,584,278,370,1560,1598,718,1610,1192,1195,490,363,359,927,1065,1508,9,17,5,390,424,322
FW510-R12_contig_1_1471,336,164,248,256,83,3,586,279,343,1061,1491,619,1670,1054,892,437,340,385,891,1017,1276,4,5,1,407,500,408
FW510-R12_contig_1_1472,864,545,1015,1648,443,12,3756,1747,2678,8377,9787,4865,8562,5892,6938,3264,3701,4017,6579,6610,8730,9,102,13,1443,1434,1215
FW510-R12_contig_1_1473,627,294,553,1326,455,28,2612,1165,2411,7016,7721,4211,5737,3670,4565,2509,2644,3240,3550,4022,5921,8,13,2,704,741,604
FW510-R12_contig_1_1474,1052,619,1121,2280,707,21,4467,2168,4148,15222,16995,8904,9550,6135,7718,4464,6176,7386,5681,6145,10676,34,79,13,1233,1096,917
FW510-R12_contig_1_1475,789,521,853,1427,466,18,2533,1176,1822,10140,12030,5744,6333,4032,5571,2190,2799,3398,3557,3555,4647,15,62,12,661,640,562
FW510-R12_contig_1_1476,304,194,335,465,163,5,947,410,603,4528,4066,1894,2446,1701,1964,1147,851,1035,1225,1171,1595,7,47,6,382,334,338
FW510-R12_contig_1_1477,1243,990,1410,1405,326,13,2759,1439,1704,4155,4827,2423,6671,4674,5693,2313,2127,2038,5901,5948,7663,62,139,38,3223,3416,2994
FW510-R12_contig_1_1478,62,31,65,134,64,1,310,133,243,634,911,416,838,512,495,266,367,410,403,513,655,6,9,3,109,100,84
FW510-R12_contig_1_1479,857,498,814,1622,486,20,3166,1489,2915,9791,10875,5759,8863,6111,7430,2846,3577,3931,5342,5836,7267,17,31,8,1087,1128,970
FW510-R12_contig_1_148,39,28,28,50,8,0,65,40,59,145,268,100,218,151,193,37,38,59,81,123,207,3,5,0,50,62,43
FW510-R12_contig_1_1480,367,232,351,444,149,2,1099,387,533,3555,3844,1792,2232,1480,1776,825,1032,1108,1201,1167,1524,8,14,2,177,155,142
FW510-R12_contig_1_1481,131,73,147,94,37,0,220,60,58,698,838,415,559,402,535,131,175,156,296,311,495,1,7,1,42,48,46
FW510-R12_contig_1_1482,444,284,419,481,113,3,829,437,552,1486,1955,873,2177,1522,1667,667,583,578,1378,1586,2441,15,34,5,547,700,534
FW510-R12_contig_1_1483,266,154,253,253,53,4,498,282,318,869,1106,571,1131,728,950,344,412,374,858,883,990,2,6,2,266,251,186
FW510-R12_contig_1_1484,302,175,276,311,69,1,391,231,258,808,1276,498,1160,771,790,365,304,308,672,760,1116,29,21,21,264,284,269
FW510-R12_contig_1_1485,181,128,138,240,64,1,402,229,306,1017,1068,527,1152,883,981,410,302,308,844,1048,1395,2,20,7,697,688,569
FW510-R12_contig_1_1486,4154,3476,4368,5303,1274,39,14711,6964,8803,18630,24292,12625,37824,26091,32442,12436,12412,11912,31525,30475,37517,97,284,52,13078,14367,12196
FW510-R12_contig_1_1487,22,7,16,19,1,1,27,20,22,91,106,44,277,198,240,19,16,20,80,70,67,4,2,3,68,92,72
FW510-R12_contig_1_1488,259,204,321,401,103,5,684,392,422,2161,2141,1021,1698,1301,1409,641,706,636,1205,1306,2070,599,367,257,1211,1161,1141
FW510-R12_contig_1_1489,233,159,215,495,172,4,1182,594,851,1846,2506,1201,2478,1680,1831,1163,1080,1348,1736,1842,2533,22,36,6,444,439,417
FW510-R12_contig_1_149,52,38,54,31,12,0,81,37,32,226,243,113,296,216,279,59,51,43,164,168,236,1,3,0,45,40,50
FW510-R12_contig_1_1490,114,78,113,193,54,1,549,291,305,1202,1397,624,2062,1474,1480,638,527,463,1546,1789,2623,14,67,26,4728,5443,4305
FW510-R12_contig_1_1491,759,1052,723,1112,278,15,2821,1348,1614,5738,4648,2271,7812,7679,5469,2395,1901,1445,3445,3332,5188,12,102,9,2005,2115,2050
FW510-R12_contig_1_1492,356,383,333,420,128,6,871,390,450,1309,1235,647,2604,2846,2034,837,709,514,1160,1090,1509,15,46,6,880,767,876
FW510-R12_contig_1_1493,239,282,202,292,48,2,495,214,311,735,776,380,1678,1748,1336,460,428,380,693,748,1040,11,27,4,497,447,474
FW510-R12_contig_1_1494,712,567,531,782,229,4,1345,720,994,2552,3054,1502,5524,5455,3701,1267,1158,951,2175,2111,3098,31,78,15,1440,1294,1293
FW510-R12_contig_1_1495,464,265,371,569,147,9,957,489,636,1912,2321,1223,3905,3411,2732,975,682,609,1434,1457,2079,15,23,4,886,805,807
FW510-R12_contig_1_1496,391,291,423,515,111,3,944,488,596,1940,2048,1044,3583,2983,2723,852,751,644,1491,1594,2263,11,30,7,922,886,907
FW510-R12_contig_1_1497,347,272,277,483,118,4,811,421,556,1510,1718,1003,3386,3014,2678,716,581,577,1521,1539,2115,19,22,4,754,675,699
FW510-R12_contig_1_1498,267,256,324,467,120,10,833,492,629,1650,1936,1041,3020,2862,2302,898,794,731,1338,1325,1900,42,27,13,509,491,438
