target_id,X_3H11_A_T42_repeat_L1,X_3H11_B_T42_repeat_L1,X_3H11_C_T42_repeat_L1,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_3H11_A_T53_repeat_L1,X_3H11_B_T53_repeat_L1,X_3H11_C_T53_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1
GW101-3H11_contig_1_1135,4227,4214,4124,2243,1911,3013,839,636,706,2133,687,34,3930,2532,2556,3369,2659,2322,1000,740,598
GW101-3H11_contig_1_1136,1011,981,1129,893,979,1328,106,113,174,453,171,6,744,424,388,504,395,414,120,95,69
GW101-3H11_contig_1_1137,463,724,626,693,799,881,15,30,49,137,28,2,179,106,124,157,137,140,28,36,18
GW101-3H11_contig_1_1138,223,279,286,458,501,581,15,33,15,123,49,1,207,141,131,240,154,180,50,38,25
GW101-3H11_contig_1_1139,64,133,160,208,174,142,4,3,0,27,10,0,60,48,31,77,113,141,164,144,111
GW101-3H11_contig_1_114,606,586,479,593,654,898,47,38,61,255,79,4,337,191,210,261,213,190,12,10,5
GW101-3H11_contig_1_1140,83,166,175,291,257,253,2,0,4,22,11,2,49,28,19,94,96,155,14,11,8
GW101-3H11_contig_1_1141,586,912,1078,1296,1555,1598,131,107,216,181,75,3,312,130,122,562,549,435,27,27,13
GW101-3H11_contig_1_1142,90,104,143,176,203,181,5,16,13,18,5,0,41,23,16,28,6,15,16,16,3
GW101-3H11_contig_1_1143,19,35,63,49,61,61,3,1,10,19,3,0,21,6,12,19,8,10,16,16,13
GW101-3H11_contig_1_1144,102,79,86,47,55,86,23,17,8,17,2,1,22,12,8,7,10,10,14,10,14
GW101-3H11_contig_1_1145,81,71,56,58,72,89,9,14,9,27,16,1,38,39,39,17,7,18,84,69,65
GW101-3H11_contig_1_1146,26,39,46,21,37,48,4,6,0,17,1,0,24,13,10,19,17,8,16,14,13
GW101-3H11_contig_1_1147,34,29,29,24,58,59,1,4,0,17,1,0,28,5,10,3,17,18,76,24,35
GW101-3H11_contig_1_1148,29,21,35,27,33,54,5,2,0,8,2,0,7,21,12,15,7,3,1,0,3
GW101-3H11_contig_1_1149,24,16,23,29,23,29,6,3,13,16,2,0,15,8,8,8,8,2,7,2,2
GW101-3H11_contig_1_115,1316,1133,1050,1028,1234,1654,162,131,116,533,226,14,702,420,443,446,435,380,21,21,14
GW101-3H11_contig_1_1150,653,617,558,537,649,813,90,101,90,308,119,2,357,263,243,181,161,176,61,41,40
GW101-3H11_contig_1_1151,279,314,254,333,360,415,4,5,13,100,27,4,199,97,122,117,109,89,23,23,8
GW101-3H11_contig_1_1152,110,100,86,124,141,226,6,4,5,47,6,1,50,33,38,68,47,43,12,9,8
GW101-3H11_contig_1_1153,1090,1313,1146,1159,1287,1662,14,17,8,427,132,6,834,446,484,537,452,423,39,42,23
GW101-3H11_contig_1_1154,565,554,464,491,622,898,50,43,39,266,80,9,409,225,276,249,209,187,10,16,8
GW101-3H11_contig_1_1155,116,105,144,129,130,186,11,23,29,30,10,2,46,30,22,37,34,19,9,6,4
GW101-3H11_contig_1_1156,45,57,62,62,93,115,4,7,1,5,0,0,15,8,4,19,14,7,0,5,1
GW101-3H11_contig_1_1157,128,109,88,118,98,105,11,5,0,13,7,0,10,11,0,10,1,6,4,2,0
GW101-3H11_contig_1_1158,933,976,810,1009,1002,1365,60,35,32,284,124,5,228,101,143,125,131,117,119,101,92
GW101-3H11_contig_1_1159,1265,1241,1010,1301,1336,1497,46,49,62,465,146,0,603,323,366,417,310,321,46,37,30
GW101-3H11_contig_1_116,761,755,683,1172,1217,1520,40,62,49,387,164,12,628,345,339,461,371,342,34,32,22
GW101-3H11_contig_1_1160,142,164,133,251,342,245,3,1,2,57,27,0,127,66,84,80,78,132,52,59,19
GW101-3H11_contig_1_1161,193,273,215,700,810,894,13,9,13,97,26,2,98,48,38,100,56,67,22,23,8
GW101-3H11_contig_1_1162,2544,3179,2525,4576,5447,6053,95,60,49,1308,262,10,1513,973,861,1228,1037,1120,65,47,45
GW101-3H11_contig_1_1163,330,293,214,252,259,320,1,7,1,50,14,0,56,33,32,33,31,23,6,7,10
GW101-3H11_contig_1_1164,446,456,404,336,417,489,21,28,29,128,26,2,113,56,65,74,43,58,45,32,20
GW101-3H11_contig_1_1165,336,421,286,245,312,320,17,14,25,104,22,1,122,64,75,98,80,74,27,7,7
